Exp ID,Index,Original,Reference,LM Output
M-7,24,"To do this you can write in and send it to the individual section or member of staff at Pinstone Street, Sheffield S1 2HH.","To do this, write to the relevant section or member of staff at Pinstone Street, Sheffield S1 2HH.","You can write and send it to the individual section or member of staff at Pinstone Street, Sheffield S1 2HH."
M-7,25,"You have a stay put policy in place, so you do not need to leave your flat, however it is your choice if you wish to leave.","You have a stay put policy in place, so you don't need to leave your flat, however it's your choice if you wish to leave.","You have a stay put policy, so you do not need to leave your flat. However, it is up to you to decide whether you want to stay or leave."
M-7,26,In the Local Studies Library most of the ephemera is categorised as ‘ Miscellaneous Papers ’ and each item is allocated a number.,In the Local Studies Library most temporary documents are categorised as ‘Miscellaneous Papers’ with an allocated number.,"In the Local Studies Library, most ephemera is categorized as 'Miscellaneous Papers'. Each item is given a number."
M-7,27,"As part of making the Sheffield Plan, we will be carrying out a Green Belt review to identify potential areas of land which may be suitable for new homes.","As part of drawing up the Sheffield Plan, we intend to carry out a Green Belt review to find areas of land which may be suitable for the building of new homes. *",We will review the Green Belt to find land that might be suitable for new homes as part of making the Sheffield Plan.
M-7,28,"The NDF recommends a number of priority projects to deliver new housing and public realm improvements so that the area changes to become characterised as a safe, high quality and affordable area to live with housing choice, good facilities and a good location in the city.","The NDF recommends improvements to housing and public space in the area. These improvements should help the area to be seen as safe, with good and affordable housing.","The NDF suggests many important projects to build new housing and improve public spaces. These projects aim to make the area safer, higher quality, and more affordable. They also hope to provide housing choices, good facilities, and a desirable city location."
M-7,29,"Where a tenancy has ceased to be the tenant ’ s ‘ only or principal home ’, you may be able to end the tenancy without getting a Court Possession Order, so long as you follow the correct procedure.","Where a tenancy is no longer the tenant’s ‘only or primary home’, follow the right procedure to end tenancy without a Court Possession Order.","If a tenancy is no longer the tenant's 'only or principal home,' you might be able to end the tenancy without a Court Possession Order, as long as you follow the correct procedure."
M-7,30,"It will help all our children and young people to have a good quality of life and achieve good outcomes including appropriate paid employment, independent living and community participation.",It will help all our children and young people to be happy and successful.  This includes suitable paid work.  It also includes living independently and becoming an active member of the community.,"It will help all our children and young people have a good quality of life and achieve good outcomes such as appropriate paid work, living independently, and participating in the community."
M-7,31,Anyone thinking of making an application which may be affected by the new provisions is invited to discuss the application with the Registration Authority.,Please talk to the Registration Authority if you want to make an application that might be changed by the new rules.,"If you are considering making an application that might be affected by the new provisions, you are encouraged to talk about it with the Registration Authority."
M-7,32,"The project is largely funded by E.ON who pledged £500,000 to us following the demolition of the Tinsley Cooling Towers in 2008.","The project is largely funded by E.ON with a pledged £500,000 following the removal of the Tinsley Cooling Towers in 2008.","The project is largely funded by E.ON, which committed to providing £500,000 after the demolition of the Tinsley Cooling Towers in 2008."
M-7,33,"If your bin has not been emptied this may have been because there was commercial or incorrectly recycled waste in your bin, if this is the case then we will not collect your bin and will leave a tag or sticker explaining why.","If there was commercial or the wrong waste in your bin, it may not have been emptied. In that case then we will not collect your bin and will leave a tag or sticker explaining why","If your bin has not been emptied, it may be due to commercial or incorrectly recycled waste. In such cases, we will not collect your bin and will leave a tag or sticker explaining why."
M-7,34,Please include details of the technology you are using (the type of device) and we will make every reasonable effort to either remove the barrier or provide the information in a format that you find acceptable.,Please include details of the technology you are using and we will make every reasonable effort to either remove the barrier or provide the information in a way that you find acceptable.,Please provide details about the device you are using. We will do our best to remove any barriers or provide the information in a format that suits you.
M-7,35,Around a quarter of Sheffield's housing stock is social rented either from the council or registered housing providers.,Around one in every four houses in Sheffield are social rented. They are rented from either the council or from registered housing providers.,About one-quarter of the housing in Sheffield is rented either from the council or registered housing providers.
M-7,36,This has enabled local traders to help establish themselves as a constituted group and to seek opportunities for funding elsewhere.,Local sellers have been helped to establish themselves as a constituted group and to look for funding opportunities elsewhere.,This has helped local traders form a group and look for funding from other places.
M-7,37,"In most cases you can apply for two permits per household, however you can apply for a third permit and we may ask for additional information.","You can usually apply for two permits per household.  You may be allowed to apply for three.  If you do, we might ask for extra information.","In most cases, you can apply for two permits per household. If you want to apply for a third permit, we may ask for additional information."
M-7,38,If you do not wish to change your settings you can continue to report your problem and skip the map but please provide as much detail as possible about the location on the following page to help us locate your issue.,If you don't want to change your settings you can continue to report your issue and skip the map but please give all possible details about the location on the next page to help us find your issue.,"If you do not want to change your settings, you can continue reporting your problem and skip the map. However, please provide as much detail as possible about the location on the next page to help us find your issue."
M-7,39,We also offer a 12 week programme of educational support for pregnant school girls and school age mothers around the time of their baby ’ s birth.,We also offer a 12 week programme of teaching support for pregnant school girls and school age mothers around the time of their baby’s birth.,We also provide a 12-week educational support program for pregnant schoolgirls and school-age mothers around the time their baby is born.
M-7,40,"If any person is assisting you in the collection, they can only do so with the written authorisation of the promoter; however no person under the age of 16 years is permitted to act as a collector.",If anyone assists you in your collection they must have the written consent of the promoter. No-one under the age of 16 may act as a collector.,"To assist in the collection, a person needs written authorization from the promoter. Additionally, no one under 16 years old is allowed to be a collector."
M-7,41,Neighbourhood Development Plan - A plan will establish the vision and planning policies for the use and development of land in your neighbourhood.,The Neighbourhood Development Plan will outline the idea and planning policies for the use and development of land in your area.,A Neighbourhood Development Plan will establish the vision and planning policies for using and developing land in your neighbourhood.
M-7,42,It is intended to upgrade this area to the same standard as the rest of The Moor subject to available funding by the end of Summer 2015.,"If funds are available, the area will be improved to match the rest of the moor by summer 2015.","Upgrading this area to the same standard as the rest of The Moor is planned, subject to available funding, and will be completed by the end of Summer 2015."
M-7,43,The United Nations ’ Convention on the Rights of the Child also states that “All children and young people have a right to a say in any matter affecting them and for their views to be taken seriously ”.,The United Nations’ Convention on the Rights of the Child also states that “All children and young people have a right to a say in any matter affecting them and for their views to be taken seriously,"The United Nations' Convention on the Rights of the Child says that all children and young people have a right to express their opinions in matters affecting them, and their views should be considered seriously."
M-7,44,"This system is utilised to carry out data quality tasks such as: previous term adjustments, double funding queries, 2 year old compliance checks, which cannot be completed through the Provider Portal.","This system is used to carry out data quality tasks which cannot be completed through the Provider Portal. These tasks include previous term adjustments, double funding queries and 2 year old compliance checks","This system is used to perform data quality tasks such as previous term adjustments, double funding queries, and 2-year-old compliance checks. These tasks cannot be completed through the Provider Portal."
M-7,45,It is an important tool for senior leadership teams in schools to use in reviewing and evaluating current practice in terms of their 3 wave approach.,Senior leadership teams in schools find this tool useful in reviewing and evaluating current practice in terms of their 3 wave approach.,It is important for school senior leadership teams to use this tool to review and evaluate current practices in terms of their 3 wave approach.
M-7,46,"For consumers we would always advise that in the event of a complaint, contact is made with the trader by you – preferably in the form of a letter (with proof of delivery).","We advise consumers to contact the trader directly if they have a complaint. We would prefer for you to make your complaint in the form of a letter, with proof of delivery.","For complaints, we advise contacting the trader in writing, preferably with proof of delivery."
M-7,47,"Whatever your intrigue, you ’ re guaranteed to gain a further appreciation of the work of teachers and school leaders as well as the type of challenges schools face.","Whatever your interest, you’re guaranteed to gain a further understanding of the work of teachers and school leaders as well as the type of challenges schools face.","No matter what your interest is, you will gain a better understanding of teachers and school leaders, as well as the challenges faced by schools."
M-7,48,"The responsibility for notification also includes children who are not looked after and placed in a health or education placement for 3 months or more, or placed with the intention of staying for longer than 3 months.",The responsibility for notification also covers children are placed in a health or education placement for 3 months or more,"The responsibility for notification includes children who are placed in a health or education placement for 3 months or more, or who are intended to stay for longer than 3 months. It also includes children who are not looked after."
M-7,49,The Joint Strategic Needs Assessment (JSNA) provides an over-arching assessment of the current and future health and wellbeing needs of Sheffield people.,The Joint Strategic Needs Assessment (JSNA) gives an overarching assessment of  Sheffield people about their current and future health and wellbeing needs.,The JSNA gives a comprehensive overview of the current and future health and wellbeing needs of people in Sheffield.
M-7,50,"New development, including extensions to buildings, are liable and CIL is charged per square metre of additional floor space.","New development, including extensions to buildings, is liable, and CIL is charged per square metre of additional floor space.","New developments, including building extensions, are charged CIL based on the additional floor space in square metres."
M-7,51,"Where carried out, an applicant should submit a consultation supporting statement with the eventual planning application, summarising what methods have been used, representations received, and any changes made to the proposals as a result of consultations.","Applicants should submit a consultation supporting statement along with the planning application. This should summarising the methods used, the representations received, and any changes made to the proposals as a result of consultations.","An applicant should submit a summary statement with the planning application if consultations were done. This statement should include the methods used, any representations received, and changes made to the proposals."
M-7,52,We have developed a toolkit with 5 tools to support people and organisations in implementing the learning from the training.,We have developed a toolkit with 5 tools. Its purpose is to support people and organisations in applying the learning from the training.,We have created a toolkit with 5 tools to help people and organizations apply what they learned from the training.
M-7,53,This scheme is only available to Sheffield residents who either receive a qualifying benefit or are assessed to have insufficient income to meet their needs.,"This scheme is only available to Sheffield residents who either receive a qualifying benefit, or are confirmed to have low income and not capable to meet their needs",This scheme is only for Sheffield residents who receive a qualifying benefit or are found to have insufficient income.
M-7,54,The Forum is a statutory body that provides a formal channel of communication between Sheffield City Council (SCC) and Sheffield schools; and serves as a mechanism for consultation regarding the funding of schools.,"The Forum is a governing body that enhances communication, consulting and funding between Sheffield City Council (SCC) and Sheffield schools.","The Forum is a formal body required by law. It acts as a communication channel between Sheffield City Council and Sheffield schools. Additionally, it is a way for the council to consult with schools about funding."
M-7,55,"However, we are aware that there are still a number of houses that require a licence but where we have not received applications.","However, we know that there are still many houses that require a licence but where we have not received applications.","We know that some houses need licences, but we haven't received applications for them yet."
M-7,56,"We believe that young people involved in our activities are more likely to engage positively with other aspects of their education and learning, and hence the PESOL team contribute to improved attainment and achievement of young people.","We think young people involved in our activities are more likely to engage positively with other parts of their education, and thus the PESOL team promote better fulfilment and achievement of young people.","We think that young people involved in our activities are more likely to have positive experiences with other parts of their education. Therefore, the PESOL team helps improve the performance and achievements of young people."
M-7,57,"Increased density is an important sustainability aim, helping to support more sustainable patterns of growth and minimise the need to travel.",Increased density is an important sustainability aim. This aim will support more sustainable patterns of growth and minimise the need to travel.,Increased density supports more sustainable growth patterns and reduces the need to travel.
M-7,58,"Volunteers should provide an hour ’ s support per week, with a minimum commitment of 12 weeks, with the option to continue.","Volunteers should provide an hour's support per week, with a minimum commitment of 12 weeks, with the option to continue.",Volunteers should offer one hour of support each week. They need to commit to at least 12 weeks. They can continue after that.
M-7,59,"Following consultation between January and March 2017, Sheffield City Council Cabinet approved policy changes affecting all Post 16 travel and transport arrangements.","After consulting people from January to March of 2017,  Sheffield City Council Cabinet changed the way Post-16 travel and transport works","In January and March 2017, Sheffield City Council Cabinet discussed changes to the policy. These changes affect all Post 16 travel and transport arrangements."
M-7,60,"To apply for the reduction, complete the 'Partly Empty Properties Relief application form' available to download from 'Supporting documents & links', and provide a plan of your property, clearly indicating which proportion of your premises is occupied and which is unoccupied.","To apply for the reduction, complete the 'Partly Empty Properties Relief application form' available from 'Supporting documents & links'. You must  provide a plan of your property, showing which area is occupied and which is not.","To apply for the reduction, fill out the 'Partly Empty Properties Relief application form' found on 'Supporting documents & links'. Also, submit a property plan showing which part of your space is occupied and which is unoccupied."
M-7,61,You should be enrolled for the purpose of attending a full time course of Education at a college of nursing and midwifery or a college of health established by a regional Health Authority or University.,You need to enrol to attend a full-time course of Education at a College of Nursing and Midwifery or a College of Health established by a regional Health Authority or University.,"You should attend a full-time course at a college of nursing and midwifery, or a college of health recognized by a regional Health Authority or University, and be enrolled in that course."
M-7,62,We participate in the Cabinet Office ’ s National Fraud Initiative: a data matching exercise to assist in the prevention and detection of fraud.,We participate in the Cabinet Office’s National Fraud Initiative to help stop and find fraud. This is a data matching exercise.,"We take part in the Cabinet Office's National Fraud Initiative, which is a data matching exercise to help prevent and detect fraud."
M-7,63,"You can also contact Councillor Jack Scott, Cabinet Member for Community Services and Libraries by emailing jack.scott @ sheffield.gov.uk or calling 07875 014281.","You can also contact Councillor Jack Scott, Cabinet Member for Community Services and Libraries by emailing jack.scott@sheffield.gov.uk or calling 07875 014281.","You can contact Councillor Jack Scott, who is the Cabinet Member for Community Services and Libraries, by email at jack.scott @ sheffield.gov.uk or by calling 07875 014281."
M-7,64,"At least every 4 years or whenever the Council wishes to amend its Scheme, an Independent Remuneration Panel has to consider the Scheme and make recommendations to the Council.",Whenever the council wishes to change its Scheme an Independent Renumeration Panel has to think and give advice to the council.,An Independent Remuneration Panel must review the Scheme at least every four years or when the Council wants to make changes. They then make recommendations to the Council.
M-7,65,"You can print out copies of the postcards or look out for them in community venues, libraries and GP surgeries across the city.","You can print out copies of the postcards or search for them in community venues, libraries and GP surgeries","You can print out copies of the postcards or find them in community venues, libraries, and GP surgeries around the city."
M-7,66,We have traffic cameras covering the area and temporary signal arrangements integrated into the surrounding network to reduce the likelihood of delay.,We have traffic cameras covering the areas and temporary signal arrangements. This will reduce the possibility of delay.,We have traffic cameras in the area. Temporary signal arrangements are also in place to help reduce delays.
M-7,67,"Business permits are not issued for the city centre, Falding Street, Holme Lane, Loxley New Road and Vaughton Hill parking zones.","Business passes are not given for the city centre, Falding Street, Holme Lane, Loxley New Road and Vaughton Hill parking areas.","Business permits are not issued for parking in the city centre, Falding Street, Holme Lane, Loxley New Road, and Vaughton Hill."
M-7,68,The identification facility enables the radio to be ‘ identified ’ on the control room base station by showing the call sign and premises details on an LCD display.,The identification facility shows the call sign and area details on an LCD display in the control room base station.,"The identification facility allows the radio to show the call sign and premises details on an LCD display, so it can be recognized by the control room base station."
M-7,69,The boundaries have been drawn to take in as much as possible of the course of the brook and linking five distinct zones.,The boundaries have been drawn to take in as much as possible of the course of the stream and linking five distinct zones.,The boundaries include the course of the brook and connect five different zones.
M-7,70,"Our work is being delivered through the Inclusion Programme and overseen by an Inclusion Board, chaired by our Executive Director of Children, Young People and Families.","The Inclusion Programme delivers our work. This work is also overseen by an Inclusion Board. Our Executive Director of Children, Young People and Families leads the Board.","Our work is part of the Inclusion Programme and is supervised by an Inclusion Board. The board is led by our Executive Director of Children, Young People, and Families."
M-7,71,"When a Notice runs out, it ends the tenancy so you would have to leave, even if you have changed your mind, so it is important to make sure you have somewhere else to go before handing in your Notice.","The tenancy ends when a Notice runs out. This means you would have to leave, even if you have changed your mind. It is important that you make sure you have somewhere else to live before handing in your Notice.","When a Notice expires, your tenancy ends and you must leave, even if you change your mind. Therefore, it is important to have somewhere else to go before giving in your Notice."
M-7,72,"We'll use the information you give us to work out whether we can help you and, if so, how quickly we can come and visit you to assess your needs.","We will use the information you give us to see whether we can help you. If we can help you, we will check how quickly we can come and visit you to check your needs.","We will use the information you provide to determine if we can assist you. If we can, we will visit you as soon as possible to assess your needs."
M-7,73,Any shortfall in payments could then result in garage arrears and may lead to a Notice to Quit being issued for the garage.,"If you do not pay the correct amount at any time, you might owe money. If this happens, we will send you a Notice to Quit for the garage.",Any unpaid payments might cause garage arrears and could result in a Notice to Quit being issued for the garage.
M-7,74,"There is a variety of gates, stiles and footbridges available that are suitable to use on public paths that can be purchased from suppliers or built on site.","There is a variety of gates, stiles and footbridges available from suppliers or built on site that are suitable to use on public paths.","There are different types of gates, stiles, and footbridges available. They can be bought from suppliers or built on site."
M-7,75,As the Lead Local Flood Authority we have worked closely with the Environment Agency to develop the ‘ Sheffield Flood Risk Management Strategy ’.,The 'Sheffield Flood Risk Management Strategy' was built in coordination with the with the Environment Agency to build t,"As the Lead Local Flood Authority, we have collaborated with the Environment Agency to create the 'Sheffield Flood Risk Management Strategy'."
M-7,76,You must have at least three years post qualifying experience in child care social work and direct experience of adoption work.,You must have at least three years post qualifying experience in child care social work. You must also have direct experience of adoption work.,You need at least three years of working experience in child care social work and some experience in adoption work.
M-7,77,"Sheffield Star Mandarin School: provides Mandarin language, arts and fold dance tuitions to children and young people, aged 4 to 18 years.","Sheffield Star Mandarin School: provides Mandarin language, arts and fold dance teaching to children and young people, aged 4 to 18 years.","Sheffield Star Mandarin School teaches Mandarin language, arts, and fold dance to children and young people from age 4 to 18."
M-7,78,"Planning can assist in achieving this through encouraging positive action to mitigate against climate change, preserving and enhancing biodiversity and enhancing open spaces and river corridors.","Planning can assist in achieving this through encouraging positive action to fight against climate change, preserving and enriching biodiversity and creating more open spaces and river corridors.",Planning can help achieve this by encouraging actions that reduce climate change. It can also preserve and enhance biodiversity and improve open spaces and river corridors.
M-7,79,"It is really important for us to understand what ’ s happening in the housing market, and to be aware of how this may be changing.","It is really important for us to understand what’s happening in the housing market, and how this may be changing.",It is crucial for us to understand what is happening in the housing market and to be aware of any changes.
M-7,80,It's divided into different sections which can support the initial planning stages through to the later stages of delivery.,It's divided into different sections which can support the initial planning stages uninterrupted to the later stages of delivery.,It is divided into different sections that can support planning from the beginning to the later stages of delivery.
M-7,81,"Using ‘ Ground 14 ’ is an additional option to the more usual and straight forward way of ending an Assured Shorthold Tenancy using the ‘ automatic shorthold ground ’, ‘ Section 21 ’.","An additional option is using ‘Ground 14’  as an easier way of ending an Assured Shorthold Tenancy using the ‘automatic shorthold ground’, ‘Section 21’.","Using ""Ground 14"" is an extra option for ending an Assured Shorthold Tenancy, besides the usual and simpler ""Section 21."""
M-7,82,Membership grew after the riot and meetings and marches were held on a daily basis with regular disturbances in the town centre.,Membership grew after the riot and meetings,"Membership increased after the riot. Meetings and marches occurred daily, causing regular disturbances in the town center."
M-7,83,"Members of the group will take up issues on behalf of other carers at meetings with managers and then feedback to carers by direct contact, through support groups and the fostering newsletter.",Members of the group will discuss issues on behalf of other carers at meetings with managers and then report back to carers either directly or through support groups and the fostering newsletter,"Group members will discuss issues with managers on behalf of other carers. They will then tell carers about what happened through direct contact, support groups, and the fostering newsletter."
M-7,84,"The Woodland Discovery Centre has a multi-function space called the Sycamore Suite, which can be booked for meetings, events and activities.","The Woodland Discovery Centre has an area called the Sycamore Suite, which can be used for meetings, events and activities.","The Woodland Discovery Centre has a multi-purpose space called the Sycamore Suite. You can book it for meetings, events, or activities."
M-7,85,"We are committed to a ‘ test and learn ’ approach and are looking for innovative applications which, through monitoring and measurement of success and impact, can evidence what people want and what works.",We are dedicated to a ‘test and learn’ approach and are looking for new applications which can indicate what people want and what works.,"We are committed to a ""test and learn"" approach. We are looking for innovative applications that can show us what people want and what works through monitoring and measuring their success and impact."
M-7,86,"But even when we alert organisations to a tender opportunity, this will still be openly advertised in the 3 places stated above.","But even when we inform organisations to a tender opportunity, this will still be openly advertised in the 3 places stated above.","Even when we inform organizations about a tender opportunity, it will still be advertised in the three places mentioned above."
M-7,87,Where agreement cannot be reached at the compliance stage and liability orders are moved to the enforcement stage a further £235 will be added to the debt owed.,"Agreement may not be reached at the verification stage and then responsibility orders are moved to the enforcement stage. As a consequence, a further £235 will be added to the bill owed.","If agreement cannot be reached at the compliance stage and the issue moves to the enforcement stage, an additional £235 will be added to the debt owed."
M-7,88,"Regardless of the process followed, all bids are evaluated according to clear, pre-published criteria by a panel of experienced officers, and contracts will be awarded on the basis of value for money, which means a balance of quality and cost.","Despite the process, bids are assessed based on pre-published criteria by experienced officers. Contracts will be awarded on the basis of value for money- this means a balance of quality and cost.","All bids are evaluated by experienced officers using clear, published criteria. Contracts will be awarded based on the best value for money, considering both quality and cost."
M-7,89,"This is because even if you think the tenant has left, it does not mean that the tenancy is over, they may just have been away for a period of time.","This is because even if you think the tenant has left, it doesn't mean that the tenancy is over, they may have just been away for some time.","Even if you believe the tenant has left, the tenancy might still be active. They could just have been away for a while."
M-7,90,"The owners of the apparatus must have, and maintain, Public Liability Insurance cover (minimum £2 million for small apparatus and £5 million for larger type buildings / apparatus).","If you own apparatus, you must have (and maintain) Public Liability Insurance cover (from £2 million for small apparatus to £5 million for larger type buildings / apparatus).",The owners of the apparatus must have and keep Public Liability Insurance with a minimum coverage of £2 million for small apparatus and £5 million for larger buildings or apparatus.
